Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.012598924,4.130796618,4.79098829,11.25918122,5.140044047,7.322688277,4.968985791,4.042388537,6.617982256,8.516503975,4.95360767,6.756175387,4.815824112,
ABW,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082577,703388,1269221,3656986,1702027,2236381,1265878,1255852,2004844,2562889,1655574,1788242,1171447,
ABW,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Patent applications, residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ABW,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156424.581,,29713.23929,71831.44599,55865.92179,55865.92179,,,,,,,,,,932986.7953,1750298.465,153605.3669,700088.4842,1001564.925
ABW,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480446.9274,458100.5587,1564245.81,3391061.453,4217877.095,4547486.034,6771959.279,10347512,9832402.235,11955307.26,13184357.54,14748603.35,10558659.22,9720670.391,8645172.626,10903194.97,13810224.58,,,16533453.29,16848539.33,10210598.31,12319999.12,14241766.33
AFE,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.534208419,6.693086376,5.972004555,7.002118339,6.734390097,4.373487714,,
AFE,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2996726465,3105385434,3261509702,3058025674,2600999166,2624922469,2217336335,2090623477,,
