Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Urban population (% of total population),50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.654,50.639,50.624,50.609,50.593,50.578,50.563,50.548,50.532,50.517,50.502,50.487,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052
ABW,Urban population,27728,28330,28764,29157,29505,29802,30052,30160,30124,30044,29922,29766,29777,30026,30352,30690,30922,31050,31179,31305,31427,31593,31836,32113,32351,32494,32522,32460,32391,32514,33066,34138,35095,35882,36740,37575,38403,39248,40099,40938,41625,42025,42194,42277,42317,42399,42555,42729,42906,43079,43206,43493,43864,44228,44588,44943,45297,45648,45999,46351,46574,46734,46891
ABW,Urban population growth (annual %),,2.147858087,1.52032914,1.357041595,1.186471932,1.001576484,0.835370915,0.358732863,-0.11943469,-0.265922242,-0.406897803,-0.522719325,0.036948088,0.832738956,1.07987402,1.107445544,0.753103605,0.41309037,0.414598289,0.403303792,0.388956685,0.526818102,0.766214788,0.866320763,0.738399979,0.441052454,0.08613265,-0.190822132,-0.212795565,0.379015938,1.683479832,3.190556921,2.764753684,2.217710681,2.363030279,2.247285585,2.17966459,2.176490597,2.145090883,2.070733072,1.664222124,0.956373099,0.401335154,0.196517211,0.094569362,0.193588049,0.367257987,0.408048969,0.413382967,0.40239631,0.29437351,0.662063111,0.84939325,0.826413458,0.810669185,0.793025568,0.784578493,0.771898934,0.765986265,0.762320963,0.479957876,0.342950565,0.335380822
ABW,"Mortality caused by road traffic injury (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Pump price for gasoline (US$ per liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Pump price for diesel fuel (US$ per liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Population in urban agglomerations of more than 1 million (% of total population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Population in urban agglomerations of more than 1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Population in the largest city (% of urban population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Population in largest city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Population living in slums (% of urban population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Urban population living in areas where elevation is below 5 meters (% of total population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.464276628,,,,,,,,,,4.543350478,,,,,,,,,,,,,,,4.605602018,,,,,,,
ABW,Population density (people per sq. km of land area),,310.0611111,314.9,319.3055556,323.2111111,326.5666667,329.3944444,330.6777778,330.3944444,329.6111111,328.3666667,326.7555556,326.9722222,329.8055556,333.4888889,337.3055556,339.9611111,341.4722222,342.9888889,344.4777778,345.9277778,347.8555556,350.6444444,353.7944444,356.5222222,358.2111111,358.6277778,358.0555556,357.4,358.8666667,365.0666667,377.0222222,389.9555556,402,415.0555556,428.0555556,441.2055556,454.7666667,468.6388889,482.5944444,495.0055556,503.8388889,509.8944444,515.0055556,519.6666667,524.9055556,531.1444444,537.7055556,544.4222222,551.1777778,557.45,562.7111111,567.2888889,571.5555556,575.5222222,579.2055556,582.6333333,585.7722222,588.6777778,591.3444444,592.1388889,591.8722222,
ABW,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Access to electricity, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.9241333,99.96606445,99.99035645,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
ABW,Urban land area (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3108893,,,,,,,,,,87.35285804,,,,,,,,,,,,,,,97.34080782,,,,,,,
ABW,Urban land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.381174574,,,,,,,,,,3.851109071,,,,,,,,,,,,,,,4.134336641,,,,,,,
ABW,Urban land area where elevation is below 5 meters (sq. km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.158499582,,,,,,,,,,7.014442196,,,,,,,,,,,,,,,7.530315255,,,,,,,
