Indicator_id,IndicatorName,category
WBIN-0001,Agricultural raw materials exports (% of merchandise exports),AgricultureAndRuralDevelopment
WBIN-0002,Agricultural raw materials imports (% of merchandise imports),AgricultureAndRuralDevelopment
WBIN-0003,Rural population (% of total population),AgricultureAndRuralDevelopment
WBIN-0004,Rural population growth (annual %),AgricultureAndRuralDevelopment
WBIN-0005,Rural population,AgricultureAndRuralDevelopment
WBIN-0006,Employment in agriculture (% of total employment) (modeled ILO estimate),AgricultureAndRuralDevelopment
WBIN-0007,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",AgricultureAndRuralDevelopment
WBIN-0008,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",AgricultureAndRuralDevelopment
WBIN-0009,"Agriculture, forestry, and fishing, value added (% of GDP)",AgricultureAndRuralDevelopment
WBIN-0010,"Agriculture, forestry, and fishing, value added (current US$)",AgricultureAndRuralDevelopment
WBIN-0011,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",AgricultureAndRuralDevelopment
WBIN-0012,Rural population living in areas where elevation is below 5 meters (% of total population),AgricultureAndRuralDevelopment
WBIN-0013,Agricultural nitrous oxide emissions (% of total),AgricultureAndRuralDevelopment
WBIN-0014,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),AgricultureAndRuralDevelopment
WBIN-0015,Agricultural methane emissions (% of total),AgricultureAndRuralDevelopment
WBIN-0016,Agricultural methane emissions (thousand metric tons of CO2 equivalent),AgricultureAndRuralDevelopment
WBIN-0017,"Access to electricity, rural (% of rural population)",AgricultureAndRuralDevelopment
WBIN-0018,Cereal yield (kg per hectare),AgricultureAndRuralDevelopment
WBIN-0019,Surface area (sq. km),AgricultureAndRuralDevelopment
WBIN-0020,Livestock production index (2014-2016 = 100),AgricultureAndRuralDevelopment
WBIN-0021,Food production index (2014-2016 = 100),AgricultureAndRuralDevelopment
WBIN-0022,Crop production index (2014-2016 = 100),AgricultureAndRuralDevelopment
WBIN-0023,Cereal production (metric tons),AgricultureAndRuralDevelopment
WBIN-0024,"Agricultural machinery, tractors per 100 sq. km of arable land",AgricultureAndRuralDevelopment
WBIN-0025,Rural land area (sq. km),AgricultureAndRuralDevelopment
WBIN-0026,Land area (sq. km),AgricultureAndRuralDevelopment
WBIN-0027,Average precipitation in depth (mm per year),AgricultureAndRuralDevelopment
WBIN-0028,Agricultural irrigated land (% of total agricultural land),AgricultureAndRuralDevelopment
WBIN-0029,Forest area (% of land area),AgricultureAndRuralDevelopment
WBIN-0030,Forest area (sq. km),AgricultureAndRuralDevelopment
WBIN-0031,Rural land area where elevation is below 5 meters (% of total land area),AgricultureAndRuralDevelopment
WBIN-0032,Rural land area where elevation is below 5 meters (sq. km),AgricultureAndRuralDevelopment
WBIN-0033,Permanent cropland (% of land area),AgricultureAndRuralDevelopment
WBIN-0034,Land under cereal production (hectares),AgricultureAndRuralDevelopment
WBIN-0035,Arable land (% of land area),AgricultureAndRuralDevelopment
WBIN-0036,Arable land (hectares per person),AgricultureAndRuralDevelopment
WBIN-0037,Arable land (hectares),AgricultureAndRuralDevelopment
WBIN-0038,Agricultural land (% of land area),AgricultureAndRuralDevelopment
WBIN-0039,Agricultural land (sq. km),AgricultureAndRuralDevelopment
WBIN-0040,Fertilizer consumption (kilograms per hectare of arable land),AgricultureAndRuralDevelopment
WBIN-0041,Fertilizer consumption (% of fertilizer production),AgricultureAndRuralDevelopment
WBIN-0042,"Agricultural machinery, tractors",AgricultureAndRuralDevelopment
WBIN-0043,Net migration,AidEffectiveness
WBIN-0044,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",AidEffectiveness
WBIN-0045,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),AidEffectiveness
WBIN-0046,Income share held by lowest 20%,AidEffectiveness
WBIN-0047,"Incidence of tuberculosis (per 100,000 people)",AidEffectiveness
WBIN-0048,"Prevalence of stunting, height for age (% of children under 5)",AidEffectiveness
WBIN-0049,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",AidEffectiveness
WBIN-0050,Pregnant women receiving prenatal care (%),AidEffectiveness
WBIN-0051,"Mortality rate, under-5 (per 1,000 live births)",AidEffectiveness
WBIN-0052,"Prevalence of HIV, total (% of population ages 15-49)",AidEffectiveness
WBIN-0053,"Primary completion rate, total (% of relevant age group)",AidEffectiveness
WBIN-0054,"School enrollment, primary and secondary (gross), gender parity index (GPI)",AidEffectiveness
WBIN-0055,Net ODA received (% of central government expense),AidEffectiveness
WBIN-0056,Net ODA received per capita (current US$),AidEffectiveness
WBIN-0057,"Net ODA received (% of imports of goods, services and primary income)",AidEffectiveness
WBIN-0058,Net official development assistance received (constant 2020 US$),AidEffectiveness
WBIN-0059,Net ODA received (% of GNI),AidEffectiveness
WBIN-0060,Net ODA received (% of gross capital formation),AidEffectiveness
WBIN-0061,Net official development assistance received (current US$),AidEffectiveness
WBIN-0062,Net official aid received (constant 2020 US$),AidEffectiveness
WBIN-0063,Net official aid received (current US$),AidEffectiveness
WBIN-0064,Net official development assistance and official aid received (constant 2020 US$),AidEffectiveness
WBIN-0065,Net official development assistance and official aid received (current US$),AidEffectiveness
WBIN-0066,"Net official flows from UN agencies, WHO (current US$)",AidEffectiveness
WBIN-0067,"Net official flows from UN agencies, WFP (current US$)",AidEffectiveness
WBIN-0068,"Net official flows from UN agencies, UNWTO (current US$)",AidEffectiveness
WBIN-0069,"Net official flows from UN agencies, UNTA (current US$)",AidEffectiveness
WBIN-0070,"Net official flows from UN agencies, UNRWA (current US$)",AidEffectiveness
WBIN-0071,"Net official flows from UN agencies, UNPBF (current US$)",AidEffectiveness
WBIN-0072,"Net official flows from UN agencies, UNIDIR (current US$)",AidEffectiveness
WBIN-0073,"Net official flows from UN agencies, UNFPA (current US$)",AidEffectiveness
WBIN-0074,"Net official flows from UN agencies, UNEP (current US$)",AidEffectiveness
WBIN-0075,"Net official flows from UN agencies, UNECE (current US$)",AidEffectiveness
WBIN-0076,"Net official flows from UN agencies, UNDP (current US$)",AidEffectiveness
WBIN-0077,"Net official flows from UN agencies, UNHCR (current US$)",AidEffectiveness
WBIN-0078,"Net official flows from UN agencies, UNICEF (current US$)",AidEffectiveness
WBIN-0079,"Net official flows from UN agencies, UNAIDS (current US$)",AidEffectiveness
WBIN-0080,"Net official flows from UN agencies, ILO (current US$)",AidEffectiveness
WBIN-0081,"Net official flows from UN agencies, IFAD (current US$)",AidEffectiveness
WBIN-0082,"Net official flows from UN agencies, IAEA (current US$)",AidEffectiveness
WBIN-0083,"Net official flows from UN agencies, FAO (current US$)",AidEffectiveness
WBIN-0084,"Net bilateral aid flows from DAC donors, United States (current US$)",AidEffectiveness
WBIN-0085,"Net bilateral aid flows from DAC donors, Total (current US$)",AidEffectiveness
WBIN-0086,"Net bilateral aid flows from DAC donors, Sweden (current US$)",AidEffectiveness
WBIN-0087,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",AidEffectiveness
WBIN-0088,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",AidEffectiveness
WBIN-0089,"Net bilateral aid flows from DAC donors, Portugal (current US$)",AidEffectiveness
WBIN-0090,"Net bilateral aid flows from DAC donors, Poland (current US$)",AidEffectiveness
WBIN-0091,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",AidEffectiveness
WBIN-0092,"Net bilateral aid flows from DAC donors, Norway (current US$)",AidEffectiveness
WBIN-0093,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",AidEffectiveness
WBIN-0094,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",AidEffectiveness
WBIN-0095,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",AidEffectiveness
WBIN-0096,"Net bilateral aid flows from DAC donors, Japan (current US$)",AidEffectiveness
WBIN-0097,"Net bilateral aid flows from DAC donors, Italy (current US$)",AidEffectiveness
WBIN-0098,"Net bilateral aid flows from DAC donors, Iceland (current US$)",AidEffectiveness
WBIN-0099,"Net bilateral aid flows from DAC donors, Ireland (current US$)",AidEffectiveness
WBIN-0100,"Net bilateral aid flows from DAC donors, Hungary (current US$)",AidEffectiveness
WBIN-0101,"Net bilateral aid flows from DAC donors, Greece (current US$)",AidEffectiveness
WBIN-0102,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",AidEffectiveness
WBIN-0103,"Net bilateral aid flows from DAC donors, France (current US$)",AidEffectiveness
WBIN-0104,"Net bilateral aid flows from DAC donors, Finland (current US$)",AidEffectiveness
WBIN-0105,"Net bilateral aid flows from DAC donors, Spain (current US$)",AidEffectiveness
WBIN-0106,"Net bilateral aid flows from DAC donors, Denmark (current US$)",AidEffectiveness
WBIN-0107,"Net bilateral aid flows from DAC donors, Germany (current US$)",AidEffectiveness
WBIN-0108,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",AidEffectiveness
WBIN-0109,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",AidEffectiveness
WBIN-0110,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",AidEffectiveness
WBIN-0111,"Net bilateral aid flows from DAC donors, Canada (current US$)",AidEffectiveness
WBIN-0112,"Net bilateral aid flows from DAC donors, Belgium (current US$)",AidEffectiveness
WBIN-0113,"Net bilateral aid flows from DAC donors, Austria (current US$)",AidEffectiveness
