Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,ICT goods exports (% of total goods exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.509753146,0.404430602,0.41958347,0.713791194,0.412533239,0.933620366,0.542871845,1.034994044,1.186919276,1.334744506,1.379001108,1.005077755,0.654025552,
ABW,ICT goods imports (% total goods imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.839070638,4.764945141,4.627907503,4.420785604,5.268658835,5.243941235,5.734922383,4.917242153,4.828352186,5.209021717,4.180401985,5.403695423,4.231491193,
ABW,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.66122693,93.54245387,97.17,,,,,
ABW,Secure Internet servers (per 1 million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.69414297,128.346892,254.6223754,427.6827372,569.5310539,757.7428854,1172.835975,976.8681418,1151.356147,1399.823378,1585.588967,,
ABW,Secure Internet servers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,26,44,59,79,123,103,122,149,169,,
ABW,Fixed broadband subscriptions (per 100 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.509153084,7.443874278,12.99069674,14.59427233,16.52701293,18.77219478,18.94932065,19.15150186,,,18.66251944,18.53389192,18.22419598,,,,17.85009677,17.82614814,17.83434708,
ABW,Fixed broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,6963,12274,13953,15996,18396,18800,19217,,,19200,19200,19000,,,,19000,19000,19000,
ABW,Fixed telephone subscriptions (per 100 people),,,,,,,,,,,,,,,,,,,,,,,14.25945877,15.70277782,17.14089818,18.6109991,20.22369216,21.54693561,24.43263073,27.04347018,28.47577307,27.99717081,29.0631411,29.02155887,28.77794137,35.43153796,42.27810167,40.58247209,41.5671863,42.08387535,42.76046285,40.94387474,40.45717523,40.33397698,40.62753902,40.49299874,40.42737903,39.8906878,39.24752031,36.99149296,34.92057164,,35.25540583,34.02021773,33.78574049,33.57088733,,,,32.8817572,32.83764132,32.85274461,
ABW,Fixed telephone subscriptions,,,,,,,,,,,,,,,,,,,,,,,9000,10000,11000,12000,13055,13887,15718,17469,18712,19000,20400,21000,21500,27300,33576,33220,35064,36557,38100,37132,37132,37390,38003,38259,38651,38609,38461,36700,35040,,36000,35000,35000,35000,,,,35000,35000,35000,
ABW,Mobile cellular subscriptions (per 100 people),0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028493276,,,2.22972096,3.777528741,4.155977424,6.377808073,13.81422174,16.83482789,58.44084243,67.33419771,75.45981165,105.1838786,109.4556693,114.0409598,117.3566698,123.2764603,129.0166512,131.3507803,,132.2077719,134.9144635,134.8533699,135.2427175,,,,132.4665076,132.2887836,132.3496283,
