Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,"Life expectancy at birth, male (years)",60.582,60.88,61.023,61.372,61.522,61.686,62.329,62.702,62.966,63.335,63.715,64.073,64.516,64.868,65.259,65.428,65.807,66.14,66.491,66.908,67.372,68.178,68.456,68.587,68.751,68.861,68.954,69.581,70.082,70.039,70.096,70.142,70.177,70.223,70.27,70.311,70.447,70.491,70.54,70.591,70.597,70.724,70.817,70.91,70.63,70.965,71.384,71.797,71.256,71.644,72.126,72.223,72.346,72.361,72.448,72.569,72.582,72.838,73.096,73.286,72.828,71.798,
ABW,"Life expectancy at birth, female (years)",67.783,68.269,68.579,68.992,69.18,69.449,69.901,70.281,70.673,71.135,71.585,72.006,72.785,73.487,73.909,74.284,74.417,74.525,74.615,74.746,74.83,75.298,75.504,75.707,75.855,76.052,76.139,76.117,76.113,76.147,76.196,76.147,76.181,76.218,76.253,76.36,76.403,76.355,76.378,76.466,76.477,76.495,76.555,76.503,76.45,76.56,76.542,76.478,76.944,77.371,78.612,78.62,78.603,78.803,78.614,78.644,78.486,78.794,78.854,79.01,78.445,77.315,
ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",62.182,61.589,61.17,59.658,58.324,56.291,54.201,51.574,50.099,48.378,46.741,44.573,43.071,42.445,42.563,43.154,43.581,44.553,45.428,46.541,47.805,49.399,51.053,52.859,53.679,54.71,55.823,56.546,57.298,57.66,58.584,57.552,52.385,50.069,44.999,45.626,43.259,43.078,37.955,39.798,44.859,40.543,36.813,35.882,35,38.691,41.694,41.108,39.81,39.777,39.323,38.895,37.903,37.026,35.15,28.989,27.419,24.888,20.086,18.906,16.522,14.154,
ABW,Refugee population by country or territory of origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Refugee population by country or territory of asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Unemployment, female (% of female labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, total (% of children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, work only (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, work only, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, work only, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, study and work (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, male (% of male children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Children in employment, female (% of female children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Prevalence of HIV, male (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"Prevalence of HIV, female (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,Proportion of seats held by women in national parliaments (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,"School enrollment, tertiary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.140280008,1.357159972,1.34999001,1.349290013,1.316100001,1.337239981,1.322679996,1.339259982,1.296280026,1.299180031,1.321720004,1.305080056,1.331529975,1.321939945,1.536139965,1.549919963,1.55211997,1.487409949,,,,,,
ABW,"School enrollment, secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.058879972,1.03342998,1.046730042,1.053769946,1.048169971,0.999769986,1.003640056,0.988430023,1.029829979,1.071200013,1.049870014,1.051810026,1.05606997,1.01760006,,,,,,,,,,
ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011919975,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005609989,1.00443995,1.014600039,1.008710027,1.021559954,,,,,,,,,,
ABW,"School enrollment, primary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981570005,0.96687001,0.969399989,0.947759986,0.931500018,0.923409998,0.938030005,0.955470026,0.956110001,0.960789979,0.971279979,0.986959994,0.971710026,1.025079966,0.978100002,0.968640029,0.964263737,,,,,,,
ABW,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002869964,,,,,,,,,,1.003600001,,,,,,,,,,0.997789979,,
AFE,"Life expectancy at birth, male (years)",42.54316271,42.74292036,43.11342728,43.15776604,43.70505551,43.68268945,43.4901619,44.1149283,44.40326205,44.57923181,44.86645748,45.28974204,44.99770098,45.88454818,45.81069286,46.0004022,46.47991827,46.70530817,46.73887537,47.28517431,47.69243677,48.03925278,48.24697168,46.65096667,46.44017887,46.79839272,47.37359988,47.69596348,46.91936698,48.37079758,48.23369566,48.10379935,47.65126769,47.90925982,48.7719685,48.83997573,48.67640955,48.90975502,48.08776848,49.10740052,50.23684036,50.57327921,50.93839278,51.50612464,52.02917963,52.67929078,53.58226707,54.29433482,54.94096295,55.7571339,56.47964726,57.25914513,57.92971381,58.4717039,59.02814333,59.51746409,60.02124867,60.53583928,60.90518562,61.290721,60.81748419,59.89450913,
AFE,"Life expectancy at birth, female (years)",45.70738061,46.11873745,46.4793255,46.77237014,47.35016157,47.42047397,47.11829133,47.84522502,48.1519718,48.39889852,48.68132697,49.20651209,48.91536422,49.59700212,49.48796892,49.61900931,50.33142633,50.6851958,50.92937191,51.36497204,51.71798435,52.22195377,52.49340316,50.89751396,51.01596676,51.34797651,52.00564101,52.59736337,51.98749759,53.08071898,53.06583955,52.74605513,52.36784845,52.73532522,53.03213224,53.18983678,52.96035917,53.03858173,52.62074815,53.39611393,53.66220755,53.77262631,54.10487203,54.4953653,55.02003709,55.71769736,56.67129528,57.53125655,58.37938649,59.45095277,60.30967462,61.30028814,62.14798379,62.93590022,63.64117731,64.19112513,64.86779082,65.3040097,65.82810709,66.2197263,65.83646522,65.07847216,
AFE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",140.1805257,140.810248,141.6641681,142.3249512,143.456933,144.3311499,145.2959462,145.8714926,145.7480644,148.0120043,149.5797042,152.8467695,153.9511169,152.5705022,152.5046725,151.8679142,150.5336087,148.9310956,146.6441035,145.4847203,143.7534375,142.5581318,141.1919508,139.7638066,138.7858433,137.9532231,136.1284793,135.346146,133.9111181,132.4226042,132.8453114,131.9225951,128.6502267,129.8006463,128.7923512,127.3065508,128.2394481,125.2619978,123.8603027,124.9580236,123.1347691,123.6291704,121.9369115,119.5575164,118.8232119,117.5842404,116.401307,115.0608774,114.9334087,112.6023709,111.7587132,111.5585946,109.5321696,108.0927959,107.697715,105.501833,103.2228255,100.9635263,99.49170265,99.08557226,97.41358477,96.18144231,
AFE,Refugee population by country or territory of origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690534,4151078,4386290,4584996,4965613,4138229,2920244,2503981,2445877,2675448,2943809,2869509,2877322,2633646,2603262,2538163,2560228,2309300,2162163,2181945,2302760,2771433,2893167,2977763,3559470,4195068,4917140,6058091,5958200,5936536,5959979,6146257,6121402
AFE,Refugee population by country or territory of asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4709569,3999242,4242851,4558137,4868057,4224082,2664044,2231241,2138848,2305181,2444941,2380557,2328903,2008664,1897945,1809163,1786830,1680776,1468955,1327902,1384532,1765825,1900709,2054335,2637640,3333273,3990478,5155400,5114399,5087755,5183533,5436720,5412266
AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.342993404,7.334489988,7.252759448,7.154873902,7.015552811,6.953703708,6.956679746,6.893879951,6.823119239,6.759809875,6.663016013,6.554927658,6.430410498,6.222395853,6.061944399,5.989316224,5.932665719,5.887719694,5.932727169,6.384953147,6.183819978,6.123025586,6.073026054,6.133168318,6.249084299,6.394851346,6.480415464,6.461405857,6.673627682,7.192637383,7.401657875,7.380301098
